toilet_id,object_id,object_id_1,address,bmc_department,female_facilities,male_facilities,ward_code_source,twitter,latitude,longitude,source,source_file,verification_status,total_facilities,coordinate_valid
727474d7-1042-45dd-abe6-82c21bbc9b44,1627,1627,"Vimaladevi,Omkar Singh Chawl,Udaybhavan Phatak Chawl,Gaondevi Road,Poisar,Kandivali (E)",Solid Waste Management,10,10,RS,@mybmcSWM,19.2111111,72.8580556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True
3054a885-7e11-48bb-93d1-eac004170102,1628,1628,"Durgawahini Seva Sangh,Nr.Ravaji Chawl,Bihari Tekadi,Main Road,Poisar,Kandivali (E)",Solid Waste Management,6,8,RS,@mybmcSWM,19.2105556,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
57ddcd4b-0838-4a54-9b3b-5434001919f3,1629,1629,"Shankar Mandir,Vrindawan Chawl,Atul Bihari Chawl,Vidya Patil Vidhyalay,Kandivali(E)",Solid Waste Management,6,12,RS,@mybmcSWM,19.2111111,72.86,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True
469c5272-de61-44ab-9c3b-e32c6bf660e0,1630,1630,"Behind Shriji Maidan,Ne.Hanuman Temple,Shiv Sena Shakha,Gaondevi Rd.Kandivali(E)",Solid Waste Management,8,8,RS,@mybmcSWM,19.2119444,72.8605556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
ce36d3fd-3f4f-4231-a474-8380d28a399b,1631,1631,"Behind Shriji Maidan,Nr.Hanuman Temple,Shivsena Shakha,Gaondevi Rd.Kandivali(E)",Solid Waste Management,8,8,RS,@mybmcSWM,19.2119444,72.8605556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
6eefb08b-a39f-4387-bf14-6ae4dcc78626,1632,1632,"Seva Shauchalay,Pay & Use,Opp.Nazir Chawl,Front Of Bp,Opp.Thakur Kamp,Kandivali(E)",Solid Waste Management,2,8,RS,@mybmcSWM,19.2130556,72.86,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True
b7bf0d93-ae63-40ae-babb-66728e4afcff,1633,1633,"Sai Seva Chawl,Wadae Samaj Sangh,Thakur Complex,Opp.Sharda Towar,Kandivali(E)",Solid Waste Management,2,3,RS,@mybmcSWM,19.2122222,72.8625,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True
d5e59e9c-f581-450d-943c-64ea3d005672,1634,1634,"Chawan Chawl,Thakur Complex,Nr.Palkhi Bandar,Kandivali(E)",Solid Waste Management,10,10,RS,@mybmcSWM,19.2102778,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True
7e2966c3-f6a9-4284-b998-5ebbb1d467c6,1635,1635,"Nr.Laxmi Comitee,Janiya Compound,Terapnath Bhavan Rd.Opp.Jai Maharashtra Time,Kadivali(E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2088889,72.8591667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
e19c2a84-3e4c-4541-8278-65e3128d15fa,1636,1636,"Triveni Chawl No.1,Gaytri Compound,Nr.Thakur Vidhyamandir Schoolkandivali(E)",Solid Waste Management,1,2,RS,@mybmcSWM,19.2105556,72.8644444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,3,True
