openaq_location_id,station_name,urban_ward_code,provider,parameter,parameter_display,unit,value,datetime_from,datetime_to,source
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,4.08,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,0.04919,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,232.85,,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,,,,4.43,,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,,,,4.53,,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,,,,0.0,,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,,,,2340.0,,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,,,,75.1,,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,,,,156.78,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,44.61,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,15.0,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,12.55,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,0.85,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,10.34,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,0.0,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,1.67,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,7.8,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,0.0,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,0.04133,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,0.0,,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,,,,0.0,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,0.4,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,45.86,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,98.08,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,28.13,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,21.34,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,3.0,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,30.04,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,6.97,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,1.49,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,0.02141,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,1.8,,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,,,,226.54,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,37.84,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,985.0,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,14.3,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,2186.85,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,26.6,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,0.96,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,50.39,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,43.33,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,28.85,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,113.6,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,0.07219,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,1.6,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,47.5,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,13.64,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,8.57,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,270.0,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,145.42,,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,,,,14.72,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,34.74,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,1.13,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,0.34,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,19.3,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,3.48,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,60.01,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,27.06,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,30.77,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,0.14,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,231.94,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,1.65,,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,,,,0.00209,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,31.19,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,51.48,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,3.86,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,3.55,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,2.88,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,0.36,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,31.23,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,20.13,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,85.93,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,0.99,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,0.0077599999999999995,,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,,,,290.61,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,0.65,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,27.0,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,13.1,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,29.0,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,14.81,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,2.21,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,40.43,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,43.92,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,8.97,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,0.0,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,0.00877,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,0.0,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,5.21,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,460.0,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,1.34,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,22.0,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,0.62,,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,,,,11.81,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,23.41,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,10.08,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,25.2,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,39.22,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,88.18,,,OpenAQ
