green_space_id,green_space_name,address,bmc_department,ward_code_source,twitter_handle,website,latitude,longitude,source_file,source,coordinate_valid
1942,"Garden Near Ashirwad Building,",,,,,,18.983411,72.832479,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1943,"Maidan adjoining to VJBU at the Junction of E.S. Patanwala and Dr. Babasaheb Ambedkar Marg,",,,,,,18.9801424,72.8344321,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1944,"Garden at Vaikuntdham Cemetry,",,,,,,18.977441,72.847353,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1945,V R Tulla Maidan,,,,,,18.966085,72.826843,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1946,राजमाता अहिल्याबाई होळकर उद्यान,,,,,,19.060903,72.872098,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1947,राम गणेश गडकरी उद्यान,,,,,,19.067728,72.875806,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1948,भारतरत्न प्रियदर्शनी इंदिरा गांधी उद्यान,,,,,,19.074929,72.885502,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1949,परमवीर शहिद अब्दुल हमीद उद्यान,,,,,,19.077964,72.881332,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1950,नलिनी मोहनराव सावंत उद्यान,,,,,,19.079998,72.880137,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1951,जय जवान उद्यान,,,,,,19.085986,72.881412,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1952,गंगाराम धोंडू साटम उद्यान,,,,,,19.0903113,72.887238,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1953,काशीनाथ पांडुरंग शिर्के मैदान,,,,,,19.099524,72.893558,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1954,Padmakar Tukaram Mane Udyan,,,,,,18.969629,72.829858,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1955,Baby Garden,,,,,,18.9735897,72.8239576,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
