facility_id,name,service_type,address,ward_code,longitude,latitude,source,source_file,source_id,verification_status,geometry
HC_00307,Nemani UPHC,uphc,"Nemani Disp , Near Nemani School, S.V. Road, Malad West",PN,72.85,19.18,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,60,source_verified,POINT Z (72.85 19.18 0)
HC_00308,Kurar Village UPHC,uphc,"Kurar Village Disp, Haji Siddhiki Compound Daftari Road, Near Hotel Ramesh, Malad-East, Mumbai-400097",PN,72.86,19.19,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,61,source_verified,POINT Z (72.86 19.19 0)
HC_00309,Pathanwadi UPHC,uphc,"Pathanwadi HP,Divya Appartment, ground floor, Near Suvidhya hospital triveni Nagar, Malad € Mum 400097",PN,72.86,19.18,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,62,source_verified,POINT Z (72.86 19.18 0)
HC_00310,Malwani -2 UPHC,uphc,"Malwani 2 Disp Santosh Nagar, Malvani Gate No 6, Malad-West, Mumbai-400095",PN,72.82,19.19,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,63,source_verified,POINT Z (72.82 19.19 0)
HC_00311,Malwani 1 MH UPHC,uphc,"Gate No- 6, Opp Mount mary School, SRA building Julus wadi, Opp Mount mary School, Malad (W) Mum 400095",PN,72.82,19.19,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,64,source_verified,POINT Z (72.82 19.19 0)
HC_00312,M.W Desai UPHC,uphc,"K.D. Heights Bldg.no.3, Opp. Laxmi Narayan Temple, Malad E, Mum-97",PN,72.85,19.18,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,65,source_verified,POINT Z (72.85 19.18 0)
HC_00313,Leher Building UPHC,uphc,"Leher Building HP, Near Shitaladevi Mandir Marve Village , Amlad West",PN,72.8,19.2,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,66,source_verified,POINT Z (72.8 19.2 0)
HC_00314,Choksy MH UPHC,uphc,"Choksy Mun Maternity Home, Marve Road, Malad (west)",PN,72.84,19.19,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,67,source_verified,POINT Z (72.84 19.19 0)
HC_00315,New Centenary UPHC,uphc,"Ashiyana building, ground floor, Opposite Usha mataernity home, S M modi road, Kandevli.",RS,72.91,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,68,source_verified,POINT Z (72.91 19.05 0)
HC_00316,Charkop Gaon UPHC,uphc,"Chakop sector 1 Disp Near BMC School, Behind tulsi vihar hotel, charkop Kandiwali (W)",RS,72.81,19.21,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,69,source_verified,POINT Z (72.81 19.21 0)
