station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MONO-002,VNP and RC Marg Junction,व्हीएनपी आणि आरसी मार्ग जंक्शन,Mumbai Monorail Line 1,,,Opened,Metro Line 2,Monorail,2 February 2014,Metro Line 2,19.0527,72.894199,WEB_VERIFIED,Web-verified Monorail station coordinates
MONO-003,Fertiliser Township,फर्टीलाइझर टाउनशिप,Mumbai Monorail Line 1,,,Opened,,Monorail,2 February 2014,,19.043849,72.893397,WEB_VERIFIED,Web-verified Monorail station coordinates
MONO-004,Bharat Petroleum,भारत पेट्रोलियम,Mumbai Monorail Line 1,,,Opened,,Monorail,2 February 2014,,19.0352839,72.8955553,MATCHED,"Bharat Petroleum, Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road), Anik Gaon, Fertilizer Colony, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400074, India"
MONO-005,Mysore Colony,मैसूर कॉलनी,Mumbai Monorail Line 1,,,Opened,,Monorail,2 February 2014,,19.0277168,72.8914397,MATCHED,"Mysore Colony, Mysore Colony Connector, Sri Ganesh Patel Nagar, Mahul, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400074, India"
MONO-006,Bhakti Park,भक्ती पार्क,Mumbai Monorail Line 1,,,Opened,Metro Line 4 (under construction),Monorail,2 February 2014,Metro Line 4 (under construction),19.028972,72.8775722,MATCHED,"Bhakti Park, Ajmera l-Land Road, Bhakti Park, Mahul, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400037, India"
MONO-007,Wadala Depot,वडाळा डेपो,Mumbai Monorail Line 1,,,Opened,,Monorail,2 February 2014,,19.0388244,72.8740249,MATCHED,"Wadala Depot, Kokri Agar Road, Sardar Vallabhbhai Patel Nagar, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India"
MONO-008,Guru Tegh Bahadur Nagar,गुरू तेग बहादुर नगर,Mumbai Monorail Line 1,,,Opened,Harbour / Guru Tegh Bahadur Nagar Railway Station,Monorail,3 March 2019,Harbour / Guru Tegh Bahadur Nagar Railway Station,19.0380048,72.8643455,MATCHED,"Guru Tegh Bahadur Nagar, M Ambedkar Marg, Agarwada Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India"
MONO-009,Antop Hill,अँटॉप हिल,Mumbai Monorail Line 1,,,Opened,,Monorail,3 March 2019,,19.0301805,72.8669504,MATCHED,"Antop Hill, M Ambedkar Marg, CGS Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
MONO-010,Acharya Atre Nagar,आचार्य अत्रे नगर,Mumbai Monorail Line 1,,,Opened,,Monorail,3 March 2019,,19.0236472,72.8637994,MATCHED,"Acharya Atre Nagar, Sheikh Misari Road, CGS Colony, Antop Hill, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
MONO-011,Wadala Bridge,वडाळा ब्रिज,Mumbai Monorail Line 1,,,Opened,Harbour / Wadala Road Railway Station,Monorail,3 March 2019,Harbour / Wadala Road Railway Station,19.0174644,72.8593233,MATCHED,"Wadala Bridge, Rafi Ahmed Kidwai Marg, New BPT Colony, Matunga East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400019, India"
MONO-012,Dadar (East),दादर (पूर्व),Mumbai Monorail Line 1,,,Opened,,Monorail,3 March 2019,,19.0162531,72.8522274,MATCHED,"Dadar East, Katrak Road, Dadar Parsi Colony, Matunga East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400031, India"
MONO-013,Naigaon,नायगाव,Mumbai Monorail Line 1,,,Opened,,Monorail,3 March 2019,,19.0095393,72.8478709,MATCHED,"Naigaon, G.D. Ambedkar Marg, Naigaon, Parel, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400014, India"
MONO-014,Ambedkar Nagar,आंबेडकर नगर,Mumbai Monorail Line 1,,,Opened,,Monorail,3 March 2019,,19.0708218,72.8288647,MATCHED,"Ambedkar Nagar, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MONO-015,Mint Colony,मिंट कॉलनी,Mumbai Monorail Line 1,,,Opened,,Monorail,3 March 2019,,18.9953457,72.8446326,MATCHED,"Mint Colony, G.D. Ambedkar Marg, Dosti Belleza, Lal Baug, F/S Ward, Mumbai Zone 2, Mumbai, Mumbai City District, Maharashtra, 400033, India"
MONO-016,Lower Parel,लोअर परळ,Mumbai Monorail Line 1,,,Opened,Western / Lower Parel Railway Station,Monorail,3 March 2019,Western / Lower Parel Railway Station,18.99568,72.8302756,MATCHED,"Lower Parel, Delisle Road ROB, BDD Chawl, Lower Parel, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400013, India"
MONO-017,Sant Gadge Maharaj Chowk,संत गाडगे महाराज चौक,Mumbai Monorail Line 1,,,Opened,Metro Line 3,Monorail,3 March 2019,Metro Line 3,18.9810531,72.8267863,MATCHED,"Sant Gadge Maharaj Chowk, Byculla West, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India"
