station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MM-045,Kandivli West,कांदिवली (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,,19.2006415,72.8485534,MATCHED,"Khm Medical Centre Shree Kandivli Hitwardhak Mandal Kandivali, Shantilal Modi Road, Kandivali West, R/S Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400067, India"
MM-046,Kashigaon,काशिगाव,Line 9,Elevated,Side,Operational,,Metro,,,,,NOT_FOUND,
MM-047,Kurar,कुरार,Line 7,Elevated,Side,Operational,,Metro,,,19.1878187,72.8641984,MATCHED,"Kurar, Malad East, P/N Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400097, India"
MM-048,Lower Malad,लोअर मालाड,Line 2A,Elevated,Side,Operational,,Metro,,,19.1730984,72.8364801,MATCHED,"Lower Malad, Link Road, Ram Nagar, Bangur Nagar, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400090, India"
MM-049,Lower Oshiwara,लोअर ओशिवरा,Line 2A,Elevated,Side,Operational,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Adarsh Nagar (Mumbai)_metro_station ""Adarsh Nagar (Mumbai) metro station"")",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Adarsh Nagar (Mumbai)_metro_station ""Adarsh Nagar (Mumbai) metro station"")",19.1401805,72.8318459,MATCHED,"Lower Oshiwara, Link Road, Adarsh Nagar, Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 402205, India"
MM-050,Magathane,मागाठाणे,Line 7,Elevated,Side,Operational,,Metro,,,19.2167968,72.8668012,MATCHED,"Magathane, Western Express Highway, Borivali East, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400066, India"
MM-051,Mahalaxmi,महालक्ष्मी,Line 3,Underground,Island,Operational,Transfer station to Mahalaxmi railway station and Sant Gadge Maharaj Chowk monorail station,Metro,,Transfer station to Mahalaxmi railway station and Sant Gadge Maharaj Chowk monorail station,18.9825203,72.8242196,MATCHED,"Mahalaxmi, Mahalakshmi Station Flyover, Shantinagar, Mahalakshmi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400027, India"
MM-052,Maharashtranagar Mandale,महाराष्ट्रनगर मंडाळे,Line 2B,Elevated,Side,Operational,,Metro,,,,,NOT_FOUND,
MM-053,Malad West,मालाड (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,,19.1852851,72.8358611,MATCHED,"Malad (West), Link Road, Malad West, P/N Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400064, India"
MM-054,Mandapeshwar,मंडपेश्वर,Line 2A,Elevated,Side,Operational,,Metro,,,19.2495764,72.8457622,MATCHED,"Mandapeshwar - I.C. Colony, Link Road, I C Colony, Dahisar West, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400092, India"
