ward_code,school_count,aided_schools,unaided_schools,municipal_schools,healthcare_facilities,dispensaries,hospitals,maternity_hospitals,uphcs,veterinary_hospitals,udise_city_schools,students_total,students_boys,students_girls,teachers_total,teachers_male,teachers_female,classrooms_total_observed,classrooms_good,classrooms_minor_repair,classrooms_major_repair,boys_toilets,boys_functional_toilets,girls_toilets,girls_functional_toilets,functional_toilets_total,cwsn_boys_toilets,cwsn_girls_toilets,cwsn_toilets_total,electricity_schools,library_schools,playground_schools,ramps_schools,handrails_schools,ict_lab_schools,internet_schools,computer_ict_lab_schools,teacher_student_ratio,female_teacher_share_pct,girls_share_pct,classrooms_repair_pct,region,complaints_received_2023,complaints_received_2024,complaints_closed_2023,complaints_closed_2024,closure_pct_2023,closure_pct_2024,avg_resolution_days_2023,avg_resolution_days_2024,unresolved_complaints_2024,closure_change_pp_2023_to_2024,resolution_days_change,data_year,source,green_space_count,green_space_share_pct,total_best_features,bus_stop_count,bus_depot_count,railway_station_count,existing_railway_station_count,proposed_railway_station_count,western_railway_station_count,central_railway_station_count,harbour_railway_station_count,total_public_transport_nodes,railway_presence,multimodal_presence,metro_station_count,monorail_station_count,operational_station_count,under_construction_station_count,total_metro_monorail_stations,metro_share_pct,monorail_share_pct
N,121,22,32,67,16,8,1,0,7,0,90,49243.0,24751.0,24492.0,1979,554,1425,1443,1414,29,0,505,505,601,601,1106,120,124,244,90,90,103,91,103,410,90,109,0.0401884531811628,72.00606366851945,49.73701845947648,2.0097020097020097,Eastern Suburbs,6604,5428,6427,4967,97,92,20,33,461,-5,13,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",38,3.861788617886179,200,198,2,2,2,0,0,2,0,202,1,1,9,0,3,6,9,100.0,0.0
PS,80,15,24,41,13,2,1,2,8,0,69,49698.0,25494.0,24204.0,2013,376,1637,1418,1410,8,0,677,677,726,726,1403,152,146,298,69,69,79,71,103,444,69,80,0.0405046480743691,81.32141082960756,48.70216105275866,0.5641748942172073,Western Suburbs,4521,5156,3784,3114,84,60,59,35,2042,-24,-24,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",46,4.67479674796748,280,279,1,2,2,0,2,0,0,282,1,1,7,0,7,0,7,100.0,0.0
PN,167,31,74,62,30,12,2,3,13,0,150,73575.0,37792.0,35783.0,2629,651,1978,2298,2264,33,1,752,748,856,856,1604,228,252,480,150,150,184,159,266,927,150,166,0.0357322460074753,75.23773297831875,48.634726469588855,1.4795474325500435,Western Suburbs,7830,7327,3831,3316,49,45,53,68,4011,-4,15,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",34,3.4552845528455287,336,333,3,1,1,0,1,0,0,337,1,1,3,0,3,0,3,100.0,0.0
B,30,9,7,14,4,2,0,0,2,0,21,10681.0,5164.0,5517.0,407,71,336,342,342,0,0,101,101,118,118,219,15,23,38,21,21,33,21,28,86,21,25,0.0381050463439752,82.55528255528255,51.65246699747215,0.0,Island City,3324,3019,2248,966,68,32,46,79,2053,-36,33,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",1,0.1016260162601626,60,60,0,2,2,0,0,2,0,62,1,1,0,0,0,0,0,0.0,0.0
RC,95,28,27,40,18,7,0,3,8,0,73,35544.0,18672.0,16872.0,1567,316,1251,1340,1333,1,6,662,662,840,840,1502,143,169,312,73,73,80,75,103,444,73,79,0.0440862030159801,79.83407785577536,47.4679270762998,0.5223880597014926,Western Suburbs,5942,5372,5843,5033,98,94,15,23,339,-4,8,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",79,8.028455284552846,329,326,3,1,1,0,1,0,0,330,1,1,6,0,6,0,6,100.0,0.0
KE,138,23,44,71,36,13,1,3,19,0,103,57340.0,30533.0,26807.0,2098,530,1568,1680,1674,5,1,819,799,915,876,1675,168,195,363,103,103,119,106,165,598,103,113,0.03658876874782,74.73784556720686,46.75095919079177,0.3571428571428571,Western Suburbs,8577,8145,7920,6826,92,84,32,59,1319,-8,27,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",82,8.333333333333332,376,374,2,2,2,0,2,0,0,378,1,1,16,0,12,4,16,100.0,0.0
L,179,36,55,88,34,14,2,1,17,0,109,60190.0,32015.0,28175.0,2250,617,1633,1614,1593,20,1,682,682,677,670,1352,156,151,307,109,109,131,110,147,574,109,141,0.037381624854627,72.57777777777777,46.810101345738495,1.3011152416356877,Eastern Suburbs,7965,7047,6274,4912,79,70,23,20,2135,-9,-3,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",63,6.402439024390244,255,254,1,3,3,0,0,1,2,258,1,1,5,0,1,4,5,100.0,0.0
S,144,44,45,55,30,9,1,3,17,0,110,56804.0,30194.0,26610.0,2319,659,1660,1888,1860,25,3,743,736,732,725,1461,177,160,337,110,110,128,112,154,547,110,133,0.0408245898176184,71.58257869771452,46.84529258502923,1.4830508474576272,Eastern Suburbs,6649,6221,5676,2671,85,43,50,50,3550,-42,0,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",78,7.926829268292683,284,284,0,4,4,0,0,4,0,288,1,1,13,0,0,13,13,100.0,0.0
RN,61,19,23,19,16,5,2,0,9,0,58,37430.0,20215.0,17215.0,1405,283,1122,1237,1237,0,0,626,626,648,648,1274,120,133,253,58,58,67,60,85,362,58,64,0.037536735239113,79.8576512455516,45.99251936948971,0.0,Western Suburbs,2954,3166,2952,3121,100,99,8,15,45,-1,7,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",52,5.284552845528456,203,203,0,1,1,0,1,0,0,204,1,1,5,0,5,0,5,100.0,0.0
KW,116,17,44,55,14,5,1,0,7,1,115,74683.0,38279.0,36404.0,3215,663,2552,2209,2194,4,11,967,962,1116,1112,2074,195,207,402,115,115,135,122,204,780,115,148,0.0430486188289168,79.37791601866252,48.744694240991926,0.6790402897238569,Western Suburbs,9251,7945,7743,6286,84,79,44,64,1659,-5,20,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",59,5.995934959349594,386,385,1,1,1,0,1,0,0,387,1,1,15,0,6,9,15,100.0,0.0
A,27,1,13,13,12,4,4,0,3,1,53,31676.0,16295.0,15381.0,1472,319,1153,923,892,31,0,389,389,493,493,882,61,79,140,53,53,68,53,70,289,53,65,0.046470513953782,78.3288043478261,48.55726733173381,3.358613217768147,Island City,2468,3207,1431,1306,58,41,40,64,1901,-17,24,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",20,2.032520325203252,263,261,2,2,2,0,1,1,0,265,1,1,9,0,5,4,9,100.0,0.0
C,23,5,9,9,18,12,2,1,3,0,17,6828.0,3736.0,3092.0,221,58,163,197,189,7,1,92,92,101,101,193,21,31,52,17,17,21,17,22,51,17,21,0.0323667252489748,73.7556561085973,45.28412419449327,4.060913705583756,Island City,3306,3864,2983,3257,90,84,39,32,607,-6,-7,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",4,0.4065040650406504,75,75,0,1,1,0,1,0,0,76,1,1,2,0,1,1,2,100.0,0.0
D,63,10,30,23,5,2,0,0,3,0,69,27782.0,13466.0,14316.0,1329,291,1038,915,909,6,0,355,354,479,479,833,103,145,248,69,69,79,70,87,376,69,82,0.0478367288172197,78.1038374717833,51.52976747534375,0.6557377049180327,Island City,4022,3748,3989,3545,99,95,10,20,203,-4,10,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",30,3.048780487804878,234,234,0,3,3,0,3,0,0,237,1,1,2,0,2,0,2,100.0,0.0
FS,63,16,10,37,19,8,2,1,7,1,44,14394.0,8132.0,6262.0,639,208,431,497,488,9,0,240,240,215,213,453,72,64,136,44,44,54,44,58,169,44,54,0.0443934972905377,67.4491392801252,43.50423787689315,1.8108651911468807,Island City,2742,2781,2547,2590,93,93,33,37,191,0,4,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",3,0.3048780487804878,170,170,0,3,3,0,0,1,2,173,1,1,4,2,0,4,6,66.66666666666666,33.33333333333333
