transport_id,object_id,transport_name,transport_type,best_bus_stop_name,bus_depot_name,address,ward_code_source,best_app,best_help,twitter_handle,website,latitude,longitude,style_url,source_file,source,coordinate_valid,gis_ward,validation_status
STOP_3873,3873,PRIYADARSHINI PARK (NAPEAN SEA ROAD),BUS_STOP,PRIYADARSHINI PARK (NAPEAN SEA ROAD),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.956329,72.799664,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,D,GIS_MATCH
STOP_3874,3874,"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",BUS_STOP,"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.975865,72.840565,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,E,GIS_MATCH
STOP_3875,3875,"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",BUS_STOP,"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.070246,72.875291,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,L,GIS_MATCH
STOP_3876,3876,MAYUR NAGAR (AAREY COLONY),BUS_STOP,MAYUR NAGAR (AAREY COLONY),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.155731,72.884279,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,PS,GIS_MATCH
STOP_3877,3877,JAIHIND CINEMA,BUS_STOP,JAIHIND CINEMA,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.985646,72.835353,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,E,GIS_MATCH
STOP_3878,3878,BORIVALI (W) STATION,BUS_STOP,BORIVALI (W) STATION,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.228684,72.855038,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RC,GIS_MATCH
STOP_3879,3879,S.N.D.T. (JUHU),BUS_STOP,S.N.D.T. (JUHU),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.085541,72.829491,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,KW,GIS_MATCH
STOP_3880,3880,AZAD NAGAR (MIRA ROAD),BUS_STOP,AZAD NAGAR (MIRA ROAD),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.296765,72.857279,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,,UNMATCHED
STOP_3881,3881,CHEMBUR COLONY,BUS_STOP,CHEMBUR COLONY,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.045681,72.894447,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,MW,GIS_MATCH
STOP_3882,3882,GOVERNMENT LAW COLLEGE,BUS_STOP,GOVERNMENT LAW COLLEGE,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.935615,72.82416,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,A,GIS_MATCH
