openaq_location_id,station_name,urban_ward_code,provider,sensor_id,parameter_name,parameter_display,parameter_units,sensor_name,sensor_units,source
3409510,"Byculla, Mumbai - BMC",E,CPCB,14341640,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,14341641,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236406,co,CO,ppb,co ppb,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,40569,co,CO mass,µg/m³,co µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236407,no,NO,ppb,no ppb,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236408,no2,NO₂,ppb,no2 ppb,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,40574,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,14341017,nox,NOX,ppb,nox ppb,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236409,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,40570,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12442195,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,40572,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12442196,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,40571,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236410,relativehumidity,RH,%,relativehumidity %,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236411,so2,SO₂,ppb,so2 ppb,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,40573,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,12236412,temperature,Temperature (C),c,temperature c,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,14341018,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,14341019,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238379,co,CO,ppb,co ppb,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238380,no,NO,ppb,no ppb,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238381,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,14341576,nox,NOX,ppb,nox ppb,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238382,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238383,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238384,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238385,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238386,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,12238387,temperature,Temperature (C),c,temperature c,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,14341577,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,14341578,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235855,co,CO,ppb,co ppb,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,19976,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235856,no,NO,ppb,no ppb,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235857,no2,NO₂,ppb,no2 ppb,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,19977,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,14340928,nox,NOX,ppb,nox ppb,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235858,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,19979,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235859,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,19980,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235860,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,19981,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235861,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235862,so2,SO₂,ppb,so2 ppb,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,19982,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,12235863,temperature,Temperature (C),c,temperature c,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,14340929,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,14340930,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,20137,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235921,co,CO,ppb,co ppb,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235922,no,NO,ppb,no ppb,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,19892,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235923,no2,NO₂,ppb,no2 ppb,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,14341960,nox,NOX,ppb,nox ppb,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,20139,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235924,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,20142,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235925,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,20143,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235926,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235927,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,20144,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235928,so2,SO₂,ppb,so2 ppb,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,12235929,temperature,Temperature (C),c,temperature c,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,14341961,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,14341962,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,39420,co,CO mass,µg/m³,co µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236380,co,CO,ppb,co ppb,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236381,no,NO,ppb,no ppb,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,39418,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236382,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,14341011,nox,NOX,ppb,nox ppb,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,39421,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236383,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,39417,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236384,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,39416,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236385,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236386,relativehumidity,RH,%,relativehumidity %,,OpenAQ
11604,"Deonar, Mumbai - IITM",ME,caaqm,39419,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236387,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,12236388,temperature,Temperature (C),c,temperature c,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,14341012,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409329,"Deonar, Mumbai - IITM",ME,CPCB,14341013,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238598,co,CO,ppb,co ppb,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238599,no,NO,ppb,no ppb,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238600,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,14341645,nox,NOX,ppb,nox ppb,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238601,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238602,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238603,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238604,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238605,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,12238606,temperature,Temperature (C),c,temperature c,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,14341646,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409514,"Ghatkopar, Mumbai - BMC",N,CPCB,14341647,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236467,co,CO,ppb,co ppb,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,40616,co,CO mass,µg/m³,co µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236468,no,NO,ppb,no ppb,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236469,no2,NO₂,ppb,no2 ppb,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,40624,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,14341025,nox,NOX,ppb,nox ppb,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236470,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,40627,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236471,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,40652,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236472,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,40650,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236473,relativehumidity,RH,%,relativehumidity %,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236474,so2,SO₂,ppb,so2 ppb,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,40620,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,12236475,temperature,Temperature (C),c,temperature c,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,14342080,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
12044,"Kandivali East, Mumbai - MPCB",RS,CPCB,14342081,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238580,co,CO,ppb,co ppb,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238581,no,NO,ppb,no ppb,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238582,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,14342261,nox,NOX,ppb,nox ppb,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238583,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238584,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238585,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238586,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238587,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,12238588,temperature,Temperature (C),c,temperature c,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,14342262,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409512,"Kandivali West, Mumbai - BMC",RC,CPCB,14342263,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238406,co,CO,ppb,co ppb,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238407,no,NO,ppb,no ppb,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238408,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,14341585,nox,NOX,ppb,nox ppb,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238409,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
