ward_code,population_2011,population_density_per_sq_km,area_sq_km,udise_city_schools,students_total,teachers_total,teacher_student_ratio,classrooms_repair_pct,girls_share_pct,healthcare_facilities,hospitals,dispensaries,uphcs,complaints_received_2024,unresolved_complaints_2024,closure_pct_2024,avg_resolution_days_2024,green_space_count,green_space_share_pct,green_spaces_per_km2,bus_stop_count,railway_station_count,metro_station_count,monorail_station_count,total_public_transport_nodes,public_toilet_count,facilities_per_10000_population,fire_station_count,police_station_count
HW,-0.9300961266717709,0.004727013067881506,-0.8179139799950923,0.03348969738446851,0.23271084816492346,0.2199934499168667,-0.26207487305303945,0.2405996406327118,0.7740051238962288,-0.6236209536552578,-0.28601224625590294,-0.43584261616115005,-0.3932322324407053,0.15559730506562178,-0.17094184691853742,0.1780262777062571,0.31566252162446323,0.23427552361061715,0.23427552361061704,2.289612900406979,-0.6996371978864186,0.5849616182167252,0.3090977212369663,0.1830104449656007,-0.685579841736374,-0.5907829195604656,-0.09636050619873747,-0.5773502691896258,0.29002094671369905
KE,1.3473978197986585,-0.06049070468951392,0.3101900384951248,0.929983135061014,0.8832744654507326,0.6764409314430656,-0.9178894106366553,-0.7241937099700613,-0.44094016267754876,2.1906684782248798,-0.28601224625590294,1.4416332688407272,2.3689844247037604,2.1648461742312834,0.184165650170726,0.33627185788959674,0.8984241000080875,1.6008827446725507,1.60088274467255,0.819775740497077,1.8312615562122705,-0.15393726795176993,2.5346013141431243,-0.4444539377736018,1.831051751221372,1.4352100439968687,0.8105864364533862,0.5773502691896258,2.2234939248050263
KW,1.0156926377881823,-0.2561617380019599,0.3375091636143447,1.3009459368582055,1.751911374726873,2.167235776076879,0.492161301762253,-0.41919892269517484,0.5692366620734393,-0.6236209536552578,-0.28601224625590294,-0.704053456875704,-0.3932322324407053,2.035091646032016,0.5131480725422507,0.07252922425069733,1.1633157265460985,0.7028265708318515,0.7028265708318514,0.09254912198824722,1.9725807759842786,-0.892836154120265,2.287323137153551,-0.4444539377736018,1.9460247681585279,-0.39482104165008375,-0.9247349854760123,-0.5773502691896258,0.6767155423319645
L,1.692967243561584,1.2066948394940404,-0.30471468641426847,1.1154645359596098,1.0260188113791764,0.8793064787880428,-0.7448254379131239,0.17021123850467232,-0.41097427814990417,1.9348239844175947,0.6946011694786212,1.709844109555281,1.9086149818463494,1.4524938144173034,0.9737234638623853,-0.40220751629932155,-1.1677305869883985,0.8590102532389297,0.8590102532389294,1.266946215030078,0.2895973405176375,0.5849616182167252,-0.1854586327421798,-0.4444539377736018,0.29807819205929326,1.4162459912958638,0.7038099239893528,-0.5773502691896258,-0.09667364890456635
ME,1.276091593922635,-0.7769384997064948,1.3581466748351496,1.3009459368582055,0.11636168479938842,0.2546941356469286,0.35064780115961997,1.5203366124048534,0.3698117079560965,0.783523762284811,-1.266625661990427,0.6370007466970654,1.218060817560233,-0.48539006423876113,-0.5792670888031946,0.49451743807293636,-0.7439039845275808,1.249469459256625,1.249469459256625,-0.28173643760483413,-0.5840123817093212,-0.15393726795176993,-0.9272931637108991,0.1830104449656007,-0.5706068247992181,0.30368823283692226,1.4376091851603534,0.5773502691896258,1.4501047335684953
MW,-0.4699603373999011,-0.655249654795167,-0.1579433672981356,-0.4611273716784532,-0.2437046670881843,-0.15237160080187448,0.34949365434876006,0.558598407094664,-0.1538060831914701,0.3997570215738832,0.6946011694786212,0.1005790652679577,0.06713721041670563,-0.5035556981866587,-0.6615126943960757,0.6000144915284961,-0.7439039845275808,0.3123673648141562,0.31236736481415606,0.3540208111476632,-0.17290192419075237,-0.892836154120265,0.06181954424739327,2.065403593183208,-0.20013821466838239,-0.4643559015537676,0.5013812461295418,-0.5773502691896258,-1.643452031377628
N,0.4606156855389136,-0.8190443690601661,0.7972400806152137,0.5281067664473902,0.4777302658077119,0.5176185621400899,-0.13215328117148387,0.8415905311549968,1.072023092021389,-0.3677764598479725,-0.28601224625590294,0.1005790652679577,-0.3932322324407053,0.40213090864423057,-0.6460311686374157,0.7582600717118357,-0.4790123579895698,-0.11713776180530858,-0.11713776180530869,-0.7691951937916198,-0.4298459601398579,-0.15393726795176993,0.8036540752161125,-0.4444539377736018,-0.41730946888301024,0.4648826807954621,1.107090077702866,-0.5773502691896258,-0.09667364890456635
PN,1.8656240321179365,-0.8296450656566323,1.9816966925037893,2.382920775433347,1.6964163798887273,1.3851357053916376,-1.104850483269451,0.3392740597721946,0.5135186798221146,1.4231349968030242,0.6946011694786212,1.1734224281261731,0.9878760961315275,1.6341501538962784,2.7889323590652686,-1.7209206844938185,1.3752290277765074,-0.2733214442123867,-0.2733214442123867,-1.1440668301452173,1.3045262825166044,-0.892836154120265,-0.680014986721326,-0.4444539377736018,1.3072857851743285,2.8891207510738943,1.8453579616818336,0.5773502691896258,0.29002094671369905
PS,-0.2422832855987825,-0.9329190945585506,0.4141469247890812,-0.12107813669769452,0.5005192754208494,0.5629963819409401,-0.06313452240382847,-0.5280328036829667,0.547686135070515,-0.7515432005589003,-0.28601224625590294,-1.5086859790193656,-0.16304751101199985,0.22566475029322638,0.8837370953901741,-0.9296927835771204,-0.3730557073743654,0.19522960300884765,0.19522960300884754,-0.3535245946714216,0.6107773854540194,-0.15393726795176993,0.3090977212369663,-0.4444539377736018,0.604672903891709,0.016066766871684467,0.4177708251645415,0.5773502691896258,-0.4833682445228318
RC,0.19289863297833526,-1.2865933345500196,2.073631103590419,0.002576130568035904,-0.20839422362167453,-0.03225384250550636,0.718644316658171,-0.5676254360373869,-0.07767005717470185,-0.1119319660406873,-1.266625661990427,-0.16763177544659616,-0.16304751101199985,0.3657996407484356,-0.7640778025471981,0.8637571251673954,-1.0087956110655918,1.483744982867242,1.4837449828672422,-0.47305008806507115,1.2145958699344175,-0.892836154120265,0.06181954424739327,-0.4444539377736018,1.2178623275565406,-0.29684010269489286,-0.6587978011444144,-0.5773502691896258,-0.09667364890456635
