pseudocode,lgd_ward_name,bmc_ward_code,pincode
3357145,M/East - Ward No. 144,ME,400088
4473485,P/North - Ward No. 33,PN,400095
6360702,M/East - Ward No. 147,ME,400074
8838917,M/East - Ward No. 135,ME,400043
3133931,R/Central - Ward No. 9,RC,400091
3531838,S - Ward No. 119,S,400083
5540503,P/North - Ward No. 33,PN,400095
8314216,K/East - Ward No. 84,KE,400057
6999483,P/North - Ward No. 42,PN,400097
4832234,R/Central - Ward No. 12,RC,400066
1286935,P/North - Ward No. 46,PN,400064
8987046,N - Ward No. 132,N,400077
2908908,M/East - Ward No. 138,ME,400043
3955814,B - Ward No. 224,B,400009
8277981,K/East - Ward No. 77,KE,400060
8368143,T - Ward No. 106,T,400081
2482744,D - Ward No. 216,D,400004
4868504,N - Ward No. 124,N,400079
4815893,M/East - Ward No. 139,ME,400087
6173352,N - Ward No. 123,N,400079
3083771,K/East - Ward No. 84,KE,400057
8862940,K/West - Ward No. 59,KW,400061
1760336,K/West - Ward No. 70,KW,400056
2607501,H/East - Ward No. 92,HE,400098
1602631,R/South - Ward No. 29,RS,400101
4721890,F/South - Ward No. 204,FS,400014
7358721,R/Central - Ward No. 9,RC,400091
7258501,P/North - Ward No. 38,PN,400097
5528676,D - Ward No. 217,D,400004
7658136,R/Central - Ward No. 9,RC,400091
7822067,L - Ward No. 163,L,400072
8070344,R/Central - Ward No. 10,RC,400092
1772520,H/West - Ward No. 102,HW,400050
6185740,K/East - Ward No. 82,KE,400093
6678724,S - Ward No. 110,S,400078
7068397,L - Ward No. 164,L,400072
6424976,R/Central - Ward No. 15,RC,400092
6282921,B - Ward No. 224,B,400003
3148966,H/East - Ward No. 92,HE,400098
4539581,M/East - Ward No. 139,ME,400089
4776347,R/Central - Ward No. 15,RC,400092
1425824,M/East - Ward No. 141,ME,400043
9734232,H/West - Ward No. 99,HW,400051
1326613,G/North - Ward No. 192,GN,400028
5657330,K/East - Ward No. 78,KE,400060
3432780,P/South - Ward No. 50,PS,400064
3077665,K/East - Ward No. 86,KE,400069
4203033,P/North - Ward No. 45,PN,400097
5101606,R/Central - Ward No. 11,RC,400066
7676919,K/East - Ward No. 79,KE,400093
2763082,E - Ward No. 211,E,400008
9127132,M/West - Ward No. 151,MW,400071
5950054,R/South - Ward No. 23,RS,400101
8581257,A - Ward No. 225,A,400001
6106659,R/Central - Ward No. 14,RC,400066
8658752,D - Ward No. 218,D,400004
3323625,R/South - Ward No. 19,RS,400067
3957144,F/North - Ward No. 172,FN,400022
3588204,R/South - Ward No. 22,RS,400067
4584866,N - Ward No. 129,N,400086
1304578,A - Ward No. 225,A,400020
8448711,M/West - Ward No. 149,MW,400089
9663197,G/North - Ward No. 185,GN,400028
4587762,H/West - Ward No. 99,HW,400054
1503157,P/North - Ward No. 34,PN,400095
8617020,E - Ward No. 210,E,400027
7902989,K/East - Ward No. 82,KE,400059
1837104,L - Ward No. 160,L,400086
3513616,P/South - Ward No. 50,PS,400064
7154110,D - Ward No. 218,D,400004
6206138,G/South - Ward No. 193,GS,400030
3899645,D - Ward No. 214,D,400007
9322423,A - Ward No. 225,A,400008
9544874,G/South - Ward No. 196,GS,400030
3497719,N - Ward No. 128,N,400086
9092663,S - Ward No. 121,S,400076
6864193,R/South - Ward No. 21,RS,400067
7827818,M/East - Ward No. 136,ME,400043
4751097,R/North - Ward No. 8,RN,400092
8849908,A - Ward No. 226,A,400001
9570806,T - Ward No. 105,T,400081
6399184,N - Ward No. 133,N,400075
2753706,K/East - Ward No. 76,KE,400093
4941872,K/East - Ward No. 75,KE,400059
9897836,D - Ward No. 215,D,400034
5541010,D - Ward No. 214,D,400026
3108434,S - Ward No. 120,S,400083
2014705,H/East - Ward No. 87,HE,400055
5326520,H/West - Ward No. 97,HW,400054
2599665,K/West - Ward No. 70,KW,400056
9141585,F/North - Ward No. 180,FN,400037
2611777,R/Central - Ward No. 10,RC,400091
3675779,N - Ward No. 131,N,400075
7473843,A - Ward No. 225,A,400020
5894303,M/East - Ward No. 135,ME,400043
2122304,K/East - Ward No. 72,KE,400060
5915223,M/East - Ward No. 145,ME,400088
7354094,N - Ward No. 128,N,400084
6843501,K/West - Ward No. 61,KW,400102
8912452,M/West - Ward No. 152,MW,400103
7449179,H/East - Ward No. 91,HE,400055
3674031,P/North - Ward No. 41,PN,400065
3295282,D - Ward No. 215,D,400007
7024062,M/West - Ward No. 151,MW,400088
2553414,K/East - Ward No. 84,KE,400057
6402495,G/North - Ward No. 191,GN,400028
5024839,T - Ward No. 107,T,400081
9670297,F/North - Ward No. 174,FN,400037
2421154,H/West - Ward No. 97,HW,400054
6966497,G/South - Ward No. 193,GS,400030
9516563,D - Ward No. 219,D,400006
2690736,L - Ward No. 158,L,400072
8358001,M/East - Ward No. 145,ME,400088
1583537,M/East - Ward No. 147,ME,400074
2295199,S - Ward No. 110,S,400078
2943702,A - Ward No. 225,A,400020
9258275,P/North - Ward No. 42,PN,400097
2786080,S - Ward No. 122,S,400076
7697088,D - Ward No. 217,D,400004
2404096,R/Central - Ward No. 11,RC,400066
4934129,L - Ward No. 171,L,400070
2858508,N - Ward No. 124,N,400079
2369998,C - Ward No. 222,C,400002
5591724,F/South - Ward No. 202,FS,400014
5570183,H/East - Ward No. 93,HE,400051
4975489,M/East - Ward No. 139,ME,400087
7966270,C - Ward No. 222,C,400002
5046992,H/West - Ward No. 99,HW,400051
3567487,A - Ward No. 225,A,400001
8996919,R/Central - Ward No. 16,RC,400091
8231992,N - Ward No. 124,N,400077
6945235,L - Ward No. 167,L,400070
3234428,M/East - Ward No. 134,ME,400043
2197885,S - Ward No. 113,S,400078
2565129,S - Ward No. 112,S,400078
8439968,F/South - Ward No. 205,FS,400033
3983411,K/West - Ward No. 66,KW,400058
8835458,M/East - Ward No. 139,ME,400043
4198957,N - Ward No. 123,N,400079
4840123,L - Ward No. 165,L,400070
6412386,C - Ward No. 222,C,400002
5027616,S - Ward No. 117,S,400042
1819128,G/South - Ward No. 194,GS,400028
4324829,T - Ward No. 108,T,400082
3610850,P/North - Ward No. 40,PN,400065
4208505,F/North - Ward No. 177,FN,400031
4005579,L - Ward No. 157,L,400078
3128520,T - Ward No. 104,T,400080
1787782,T - Ward No. 104,T,400080
4212357,K/East - Ward No. 84,KE,400057
1397644,T - Ward No. 108,T,400082
4798555,R/Central - Ward No. 9,RC,400091
3023498,M/East - Ward No. 138,ME,400043
4028545,D - Ward No. 217,D,400004
5315682,N - Ward No. 126,N,400086
5880864,S - Ward No. 118,S,400083
4208005,L - Ward No. 167,L,400070
9154962,R/Central - Ward No. 14,RC,400092
3082133,P/North - Ward No. 48,PN,400095
3020188,L - Ward No. 156,L,400083
3019424,R/South - Ward No. 19,RS,400067
1683229,P/South - Ward No. 55,PS,400102
8740252,R/South - Ward No. 23,RS,400101
6908882,M/East - Ward No. 148,ME,400074
4432117,N - Ward No. 133,N,400077
4048933,E - Ward No. 211,E,400008
5460994,T - Ward No. 105,T,400081
3999309,S - Ward No. 114,S,400078
2827186,P/North - Ward No. 33,PN,400095
2900890,K/West - Ward No. 62,KW,400102
5314665,H/West - Ward No. 97,HW,400054
8489540,R/North - Ward No. 6,RN,400068
6292584,P/South - Ward No. 54,PS,400102
2786834,R/South - Ward No. 21,RS,400067
7177236,R/Central - Ward No. 15,RC,400067
2794426,P/North - Ward No. 33,PN,400064
3024441,K/West - Ward No. 63,KW,400058
6756183,F/North - Ward No. 180,FN,400014
9250168,K/West - Ward No. 70,KW,400049
1773932,P/South - Ward No. 50,PS,400064
6039620,A - Ward No. 225,A,400001
4104860,R/South - Ward No. 29,RS,400101
4187854,K/West - Ward No. 61,KW,400102
9864475,L - Ward No. 158,L,400072
8370332,P/South - Ward No. 52,PS,400065
9966698,K/West - Ward No. 61,KW,400058
1105893,E - Ward No. 209,E,400010
1726283,R/South - Ward No. 22,RS,400067
4556205,H/East - Ward No. 90,HE,400029
3360596,L - Ward No. 168,L,400070
3419683,K/West - Ward No. 61,KW,400061
5528770,R/South - Ward No. 26,RS,400101
3992350,G/South - Ward No. 194,GS,400028
1615403,D - Ward No. 214,D,400034
9117703,E - Ward No. 210,E,400010
9226616,R/South - Ward No. 20,RS,400067
4236441,D - Ward No. 217,D,400007
8697773,R/North - Ward No. 6,RN,400068
1737376,A - Ward No. 225,A,400001
6540353,P/North - Ward No. 46,PN,400064
2746464,P/North - Ward No. 46,PN,400064
5708583,L - Ward No. 168,L,400070
