station_id,latitude,longitude,geocode_status,geocode_display_name
MM-045,19.2006415,72.8485534,MATCHED,"Khm Medical Centre Shree Kandivli Hitwardhak Mandal Kandivali, Shantilal Modi Road, Kandivali West, R/S Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400067, India"
MM-046,,,NOT_FOUND,
MM-047,19.1878187,72.8641984,MATCHED,"Kurar, Malad East, P/N Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400097, India"
MM-048,19.1730984,72.8364801,MATCHED,"Lower Malad, Link Road, Ram Nagar, Bangur Nagar, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400090, India"
MM-049,19.1401805,72.8318459,MATCHED,"Lower Oshiwara, Link Road, Adarsh Nagar, Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 402205, India"
MM-050,19.2167968,72.8668012,MATCHED,"Magathane, Western Express Highway, Borivali East, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400066, India"
MM-051,18.9825203,72.8242196,MATCHED,"Mahalaxmi, Mahalakshmi Station Flyover, Shantinagar, Mahalakshmi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400027, India"
MM-052,,,NOT_FOUND,
MM-053,19.1852851,72.8358611,MATCHED,"Malad (West), Link Road, Malad West, P/N Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400064, India"
MM-054,19.2495764,72.8457622,MATCHED,"Mandapeshwar - I.C. Colony, Link Road, I C Colony, Dahisar West, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400092, India"
MM-055,19.0482086,72.9317136,MATCHED,"Mankhurd, Mankhurd Station Road, Mankhurd Village, Mankhurd, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400088, India"
MM-056,19.1081008,72.87963,MATCHED,"Marol Naka, Marol Naka Metro Stn, Chimatpada, Saki Naka, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India"
MM-057,19.1172867,72.8742053,MATCHED,"MIDC - Andheri, Road Number 7, Kondivita Village, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400096, India"
MM-058,,,NOT_FOUND,
MM-059,19.1284481,72.8554647,MATCHED,"Mogra, Western Express Highway, Aghadi Nagar, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400029, India"
MM-060,19.1502437,72.8342294,MATCHED,"Oshiwara, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400102, India"
MM-061,19.2429398,72.8641964,MATCHED,"Ovaripada, Western Express Highway, Ovaripada, Dahisar East, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400068, India"
MM-062,19.2600826,72.8726532,MATCHED,"Pandurang Wadi, Western Express Highway, Ketkipada, Dahisar East, R/N Ward, Mumbai Zone 4, Mira-Bhayander, Thane Subdistrict, Mumbai Suburban District, Maharashtra, 401104, India"
MM-063,19.2037581,72.8633393,MATCHED,"Mahindra & Mahindra, Western Express Highway, Kandivali East, R/S Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400101, India"
MM-064,19.2346141,72.8631372,MATCHED,"Rashtriya Udyan, Western Express Highway, Devipada, Borivali East, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400066, India"
MM-065,19.1155449,72.8473272,MATCHED,"Sahar Road, Andheri East, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400069, India"
MM-066,19.108206,72.8828404,MATCHED,"Saki Naka, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India"
MM-067,19.0789383,72.8446344,MATCHED,"M R Medical, Santacruz, Road No 11, Anand Nagar, Golibar, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400055, India"
MM-068,18.9908949,72.8213521,MATCHED,"Science Centre, Dr E Moses Marg, Mariammar Nagar, Mahalakshmi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400018, India"
MM-069,19.1253556,72.8751702,MATCHED,"SEEPZ, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-070,19.2238836,72.8476854,MATCHED,"Shimpoli, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400091, India"
MM-071,,,NOT_FOUND,
MM-072,19.0587317,72.8384547,MATCHED,"Siddhivinayak, R. B. Vasudevrao Anant Bambardekar Road, Khar, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-073,19.1968293,72.8337752,MATCHED,"Valnai-Meeth Chowky, Link Road, Orlem, P/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400064, India"
MM-074,19.1302521,72.8213775,MATCHED,"Versova, Balasaheb Sawant Road, Seven Bungalows, Versova, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400061, India"
MM-075,18.9262345,72.8241734,MATCHED,"Vidhan Bhavan, Jamnalal Bajaj Road, Nariman Point, Colaba, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400021, India"
MM-076,19.0675032,72.8465996,MATCHED,"Western Express Highway, RPF Colony, Kherwadi, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400055, India"
MM-077,19.0117388,72.8178706,MATCHED,"Worli, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400030, India"
MM-078,19.140617,72.8312817,MATCHED,"State Bank of India, State bank of India, Link Road, Adarsh Nagar, Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400053, India"
MM-079,19.1049416,72.8558663,MATCHED,"New Airport Colony, Andheri East, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-080,19.0651692,72.8990601,MATCHED,"Amar Mahal Junction Flyover, Jyoti Nagar, Chheda Nagar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-081,,,NOT_FOUND,
MM-082,,,NOT_FOUND,
MM-083,19.0663722,72.8328501,MATCHED,"Apollo, 466, 14th Road, Linking Road Shopping area, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-084,19.0618979,72.9249694,MATCHED,"Baiganwadi, Plot No.11, Shivaji Nagar, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400043, India"
MM-085,,,NOT_FOUND,
MM-086,,,NOT_FOUND,
MM-087,19.0549792,72.8402203,MATCHED,"Bandra, Gurunanak Marg (Turner Road), Lal Mati (Lal Mitti), Khar, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-088,19.142757,72.9376543,MATCHED,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
MM-089,19.1387605,72.9307295,MATCHED,"Bhandup Mahapalika Station, Lal Bahadur Shastri Marg, Bhandup East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India"
MM-090,18.9579427,72.8317816,MATCHED,"Bhendi Bazaar, Bhuleshwar, C Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400003, India"
MM-091,,,NOT_FOUND,
MM-092,19.0128573,72.8614703,MATCHED,"BPT Hospital, LM Nadkarni Road, Sadbhavana Nagar, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400031, India"
MM-093,18.9766219,72.8327936,MATCHED,"Byculla, N M Joshi Marg, Byculla West, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400027, India"
MM-094,,,NOT_FOUND,
MM-095,19.0295314,72.8693989,MATCHED,"CGS Colony, Antop Hill, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
MM-096,18.9815598,72.8501568,MATCHED,"Coal Bunder, Fosbery Road, Sewri Dockyard, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400001, India"
MM-097,18.9473499,72.8345108,MATCHED,"Crawford Market, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India"
MM-098,,,NOT_FOUND,
MM-099,,,NOT_FOUND,
MM-100,,,NOT_FOUND,
MM-101,,,NOT_FOUND,
MM-102,19.1693779,72.966883,MATCHED,"Eastern Express Highway, MHADA Colony, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
MM-103,19.116574,72.8298593,MATCHED,"ESIC Nagar, Kamalakar Pant Walawalkar Marg, Andheri West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400058, India"
MM-104,19.0150243,73.0155516,MATCHED,"Gaimukh Chowkh, Sector-44, Seawoods West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-105,,,NOT_FOUND,
MM-106,,,NOT_FOUND,
MM-107,,,NOT_FOUND,
MM-108,19.1515483,72.9300624,MATCHED,"Ganesh Nagar, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
MM-109,19.0741334,72.9085221,MATCHED,"Garodia Nagar, Vidya Vihar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400077, India"
MM-110,19.1047588,72.921816,MATCHED,"Godrej Company (W), Lal Bahadur Shastri Marg, Pirojsha Godrej Nagar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400079, India"
MM-111,,,NOT_FOUND,
MM-112,19.0066978,72.8236294,MATCHED,"Gopal Nagar, Nehru Nagar, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400013, India"
MM-113,,,NOT_FOUND,
MM-114,,,NOT_FOUND,
MM-115,18.9902824,72.8543197,MATCHED,"Hay Bunder, Fosbery Road, Sewri Dockyard, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400001, India"
MM-116,,,NOT_FOUND,
MM-117,18.9320095,72.8350198,MATCHED,"Horniman Circle, Kala Ghoda, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400038, India"
MM-118,19.1326186,72.9149702,MATCHED,"Indian Institute of Technology Bombay, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
MM-119,,,NOT_FOUND,
MM-120,19.0589931,72.8547228,MATCHED,"Income Tax Office, Bandra Kurla Complex Road, Kalanagar, Bandra East, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400051, India"
MM-121,19.1028878,72.8368664,MATCHED,"Indira Nagar, Gulmohar Road, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400057, India"
MM-122,19.0418711,72.8786654,MATCHED,"Inter State Bus Terminal-ISBT, Padmabushan Vasantdada Patil Marg, Anik Nagar, Wadala, F/N Ward, Mumbai Zone 2, Mumbai, Mumbai City District, Maharashtra, 400022, India"
MM-123,19.136394,72.8373817,MATCHED,"Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400047, India"
MM-124,19.0559456,73.0182495,MATCHED,"Juinagar, Juinagar Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-125,19.1254075,72.9244226,MATCHED,"Gandhinagar Junction Flyover, Ramabai Ambedkar Nagar, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
MM-126,,,NOT_FOUND,
MM-127,,,NOT_FOUND,
MM-128,,,NOT_FOUND,
