scenario,ward_code,baseline_pressure,scenario_pressure,pressure_change,healthcare_change,education_change,sanitation_change,safety_change,transport_change,civic_change,green_space_change
public_transport_plus_20,N,64.0159357550662,62.23022146935192,-1.7857142857142776,0.0,0.0,0.0,0.0,-12.500000000000014,0.0,0.0
public_transport_plus_20,PS,54.29881109228936,53.108334901813166,-1.190476190476197,0.0,0.0,0.0,0.0,-8.333333333333336,0.0,0.0
public_transport_plus_20,PN,59.608507434594394,59.31088838697534,-0.297619047619051,0.0,0.0,0.0,0.0,-2.083333333333343,0.0,0.0
public_transport_plus_20,B,60.99269088399524,58.61173850304285,-2.3809523809523867,0.0,0.0,0.0,0.0,-16.66666666666667,0.0,0.0
public_transport_plus_20,RC,47.792364640190726,46.00665035447644,-1.7857142857142847,0.0,0.0,0.0,0.0,-12.500000000000014,0.0,0.0
public_transport_plus_20,KE,42.672062237279626,39.993490808708195,-2.6785714285714306,0.0,0.0,0.0,0.0,-18.749999999999993,0.0,0.0
public_transport_plus_20,L,52.32919254658385,51.43633540372671,-0.8928571428571388,0.0,0.0,0.0,0.0,-6.25,0.0,0.0
public_transport_plus_20,S,46.94185645272602,46.34661835748792,-0.595238095238102,0.0,0.0,0.0,0.0,-4.166666666666686,0.0,0.0
public_transport_plus_20,RN,37.57058159232072,34.8920101637493,-2.6785714285714235,0.0,0.0,0.0,0.0,-18.75,0.0,0.0
public_transport_plus_20,KW,67.0795689817429,64.40099755317146,-2.6785714285714306,0.0,0.0,0.0,0.0,-18.75,0.0,0.0
public_transport_plus_20,A,41.01221845787063,40.119361315013485,-0.8928571428571459,0.0,0.0,0.0,0.0,-6.25,0.0,0.0
public_transport_plus_20,C,56.042960662525886,53.95962732919255,-2.0833333333333357,0.0,0.0,0.0,0.0,-14.583333333333329,0.0,0.0
public_transport_plus_20,D,48.178602798168015,48.178602798168015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,FS,45.21378380074032,43.72568856264508,-1.4880952380952408,0.0,0.0,0.0,0.0,-10.416666666666657,0.0,0.0
resolution_time_minus_20,GS,48.59817115251898,47.606107660455486,-0.9920634920634939,0.0,0.0,0.0,0.0,0.0,-6.944444444444443,0.0
resolution_time_minus_20,FN,48.796975970889015,47.60649978041283,-1.1904761904761827,0.0,0.0,0.0,0.0,0.0,-8.333333333333336,0.0
resolution_time_minus_20,MW,46.19408369408369,45.59884559884559,-0.5952380952380949,0.0,0.0,0.0,0.0,0.0,-4.166666666666671,0.0
resolution_time_minus_20,HW,40.54598782859652,39.75233703494573,-0.7936507936507908,0.0,0.0,0.0,0.0,0.0,-5.555555555555557,0.0
resolution_time_minus_20,GN,60.6060606060606,59.812409812409804,-0.7936507936507979,0.0,0.0,0.0,0.0,0.0,-5.555555555555557,0.0
resolution_time_minus_20,ME,52.551524562394114,51.956286467156026,-0.5952380952380878,0.0,0.0,0.0,0.0,0.0,-4.166666666666664,0.0
resolution_time_minus_20,E,51.18302591128679,50.587787816048696,-0.5952380952380949,0.0,0.0,0.0,0.0,0.0,-4.166666666666686,0.0
resolution_time_minus_20,HE,55.37831733483909,54.18784114436289,-1.190476190476197,0.0,0.0,0.0,0.0,0.0,-8.33333333333334,0.0
resolution_time_minus_20,RS,52.7969916556873,52.5985789572746,-0.19841269841270304,0.0,0.0,0.0,0.0,0.0,-1.3888888888888884,0.0
resolution_time_minus_20,T,41.7090156220591,40.51853943158291,-1.1904761904761898,0.0,0.0,0.0,0.0,0.0,-8.333333333333336,0.0
resolution_time_minus_20,N,64.0159357550662,63.222284961415404,-0.7936507936507908,0.0,0.0,0.0,0.0,0.0,-5.55555555555555,0.0
resolution_time_minus_20,PS,54.29881109228936,53.70357299705126,-0.595238095238102,0.0,0.0,0.0,0.0,0.0,-4.166666666666671,0.0
resolution_time_minus_20,PN,59.608507434594394,58.81485664094358,-0.7936507936508121,0.0,0.0,0.0,0.0,0.0,-5.555555555555557,0.0
resolution_time_minus_20,B,60.99269088399524,60.19904009034444,-0.7936507936507979,0.0,0.0,0.0,0.0,0.0,-5.555555555555586,0.0
resolution_time_minus_20,RC,47.792364640190726,47.19712654495264,-0.5952380952380878,0.0,0.0,0.0,0.0,0.0,-4.166666666666668,0.0
resolution_time_minus_20,KE,42.672062237279626,41.87841144362883,-0.7936507936507979,0.0,0.0,0.0,0.0,0.0,-5.55555555555555,0.0
resolution_time_minus_20,L,52.32919254658385,51.932367149758456,-0.39682539682539186,0.0,0.0,0.0,0.0,0.0,-2.7777777777777786,0.0
resolution_time_minus_20,S,46.94185645272602,46.34661835748792,-0.595238095238102,0.0,0.0,0.0,0.0,0.0,-4.166666666666671,0.0
resolution_time_minus_20,RN,37.57058159232072,37.17375619549532,-0.39682539682539897,0.0,0.0,0.0,0.0,0.0,-2.7777777777777777,0.0
resolution_time_minus_20,KW,67.0795689817429,66.2859181880921,-0.7936507936507979,0.0,0.0,0.0,0.0,0.0,-5.555555555555557,0.0
resolution_time_minus_20,A,41.01221845787063,40.21856766421984,-0.7936507936507908,0.0,0.0,0.0,0.0,0.0,-5.555555555555543,0.0
resolution_time_minus_20,C,56.042960662525886,55.447722567287784,-0.595238095238102,0.0,0.0,0.0,0.0,0.0,-4.166666666666657,0.0
resolution_time_minus_20,D,48.178602798168015,47.781777401342616,-0.39682539682539897,0.0,0.0,0.0,0.0,0.0,-2.7777777777777786,0.0
resolution_time_minus_20,FS,45.21378380074032,44.22172030867683,-0.9920634920634939,0.0,0.0,0.0,0.0,0.0,-6.944444444444443,0.0
