district_area,pseudocode,facility_building_status,facility_no_building_blocks,facility_pucca_building_blocks,facility_boundary_wall,facility_total_class_rooms,facility_other_rooms,facility_classrooms_in_good_condition,facility_classrooms_needs_minor_repair,facility_classrooms_needs_major_repair,facility_separate_room_for_hm,facility_total_boys_toilet,facility_total_boys_func_toilet,facility_total_girls_toilet,facility_total_girls_func_toilet,facility_total_boys_cwsn_toilet,facility_func_boys_cwsn_friendly,facility_total_girls_cwsn_toilet,facility_func_girls_cwsn_friendly,facility_urinal_boys,facility_urinal_girls,facility_handwash_near_toilet,facility_hand_pump_yn,facility_well_prot_yn,facility_tap_yn,facility_othsrc_yn,facility_well_unprot_yn,facility_pack_water_yn,facility_hand_pump_fun_yn,facility_well_prot_fun_yn,facility_tap_fun_yn,facility_othsrc_fun_yn,facility_well_unprot_fun_yn,facility_pack_water_fun_yn,facility_rain_water_harvesting,facility_handwash_facility_for_meal,facility_electricity_availability,facility_solar_panel,facility_library_availability,facility_book_bank,facility_reading_corner,facility_playground_available,facility_playground_alt_yn,facility_medical_checkups,facility_availability_ramps,facility_availability_of_handrails,facility_furniture_availability,facility_phy_lab_cond,facility_chem_lab_cond,facility_bio_lab_cond,facility_math_lab_cond,facility_lang_lab_cond,facility_geo_lab_cond,facility_home_sc_lab_cond,facility_psycho_lab_cond,facility_comp_lab_cond,facility_comp_ict_lab_yn,facility_ict_lab_yn,facility_laptop,facility_tablet,facility_desktop,facility_digiboard,facility_teachdev_tot,facility_server_tot,facility_smart_class_tv_tot,facility_projector,facility_printer,facility_internet,facility_dth,facility_spl_educator_yn,teacher_total_tch,teacher_male,teacher_female,teacher_transgender,teacher_gen_tch,teacher_sc_tch,teacher_st_tch,teacher_obc_tch,teacher_regular,teacher_contract,teacher_part_time,teacher_below_graduate,teacher_graduate,teacher_post_graduate_and_above,teacher_trained_comp,teacher_class_taught_pr,teacher_class_taught_upr,teacher_class_taught_pr_upr,teacher_class_taught_sec_only,teacher_class_taught_hsec_only,teacher_class_taught_upr_sec,teacher_class_taught_sec_hsec,teacher_class_taugt_pre_primary_only,teacher_class_taught_pr_and_pre_pri,teacher_teacher_involve_non_training_assignment,teacher_diploma_certificate,teacher_bachelor_of_ee,teacher_bed_equivalent,teacher_med_equivalent,teacher_other,teacher_none,teacher_diploma_special_edu,teacher_pursuing_rpc,teacher_diploma_ele_edu,teacher_early_childhood_tch,teacher_bed_nursery,teacher_trained_cwsn
Mumbai City,7211109,1,0,1,1,0,3,11,0,0,1,2,2,2,2,1,1,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,0,0,1,1,1,2,2,14,2,12,0,14,0,0,0,14,0,0,0,13,1,14,0,1,6,3,0,4,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0
Mumbai City,7213395,2,0,1,1,0,3,8,0,0,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,2,1,2,2,2,2,2,2,2,2,2,1,9,1,0,4,0,1,0,0,1,2,1,1,3,8,2,6,0,8,0,0,0,8,0,0,0,7,1,8,0,3,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Mumbai City,7223690,2,0,1,1,0,6,6,0,0,1,1,1,1,1,0,0,0,0,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,2,1,1,2,3,7,4,3,0,6,1,0,0,7,0,0,0,6,1,1,0,2,0,5,0,0,0,0,0,1,1,0,4,1,0,0,1,0,0,0,0,1
Mumbai City,7231251,1,0,1,1,0,9,8,0,0,1,3,3,3,3,2,2,0,0,5,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,1,2,2,1,2,2,12,7,5,0,5,2,1,2,12,0,0,0,5,7,10,0,0,4,6,0,2,0,0,0,11,2,0,10,0,0,0,0,0,0,0,0,0
Mumbai City,7242394,1,0,1,1,0,6,15,0,0,1,6,6,8,8,1,1,1,1,8,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,4,0,25,0,0,1,0,1,2,1,2,1,30,2,28,0,30,0,0,0,30,0,0,2,8,20,28,0,1,1,19,0,9,0,0,0,6,0,0,22,1,6,1,0,0,0,0,0,1
Mumbai City,7247807,1,0,1,1,0,23,10,0,0,1,15,15,14,14,1,1,1,1,21,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,27,20,0,1,10,1,2,1,2,1,18,5,13,0,16,0,0,2,3,15,0,1,9,8,17,7,0,2,3,0,6,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,1
Mumbai City,7258501,1,0,1,1,0,3,15,0,0,1,6,6,6,6,3,3,3,3,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,10,0,2,0,0,1,1,1,2,3,15,5,10,0,14,1,0,0,14,0,1,0,12,3,2,1,4,1,5,0,4,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0
Mumbai City,7273163,1,0,1,7,0,5,6,0,0,1,3,3,3,3,1,0,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,8,0,0,1,1,2,2,1,2,2,9,3,6,0,9,0,0,0,8,1,0,2,7,0,3,0,1,1,6,0,1,0,0,0,2,1,0,7,0,1,0,0,0,0,0,0,1
Mumbai City,7293104,2,0,1,1,0,1,8,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,1,1,2,2,10,5,5,0,4,2,1,3,10,0,0,2,4,4,5,0,1,3,4,0,2,0,0,0,9,4,1,5,0,0,0,0,0,0,0,0,0
Mumbai City,7293825,1,0,1,1,0,7,10,0,0,1,7,7,12,12,1,1,4,4,9,16,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,20,0,0,1,2,1,5,1,2,2,26,1,25,0,17,4,0,4,26,0,0,5,14,7,12,13,1,2,5,0,5,0,0,0,0,4,0,8,1,0,0,3,1,9,0,0,2
Mumbai City,7296720,2,0,1,1,0,7,24,0,0,1,7,7,5,5,1,1,1,1,12,11,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,4,4,4,4,4,4,1,9,1,0,41,0,0,1,2,1,4,1,2,2,52,10,42,0,51,1,0,0,52,0,0,1,16,35,50,3,10,1,9,21,7,1,0,0,44,3,1,46,1,0,1,0,0,0,0,0,0
Mumbai City,7296914,1,0,1,1,0,17,17,0,0,1,4,4,4,4,4,4,4,4,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,2,0,13,0,0,2,1,1,3,1,2,1,20,7,13,0,6,7,1,3,20,0,0,0,19,1,17,4,1,1,14,0,0,0,0,0,0,1,0,18,0,1,0,0,0,0,0,0,18
Mumbai City,7307264,2,0,1,6,0,7,4,0,0,1,1,1,1,1,1,1,1,1,4,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,4,4,4,4,4,1,1,9,0,0,27,0,0,0,0,0,1,1,2,3,7,2,5,0,6,1,0,0,6,0,1,0,0,7,1,0,0,0,0,7,0,0,0,0,1,0,0,4,0,2,1,0,0,0,0,0,0
Mumbai City,7316921,2,0,1,1,0,6,39,0,0,1,9,9,14,14,1,1,1,1,12,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,46,0,32,1,0,32,6,1,2,2,50,6,44,0,50,0,0,0,49,0,1,4,20,26,50,18,1,2,18,0,11,0,0,0,0,2,0,35,2,8,0,0,0,3,0,0,1
Mumbai City,7323977,1,0,1,1,0,3,20,0,0,1,4,4,5,5,1,1,1,1,13,9,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,2,1,1,2,2,2,3,3,3,3,4,1,9,0,0,30,0,0,0,0,0,2,1,2,3,24,3,21,0,23,1,0,0,14,10,0,4,16,4,1,1,11,0,9,1,1,1,0,0,0,5,0,18,0,1,0,0,0,0,0,0,0
