facility_id,name,service_type,source_ward,gis_ward,latitude,longitude,coordinate_status,name_status
HC_00143,Tilak Nagar Dispensary,dispensary,L,L,19.07,72.89,shared_coordinate,unique_name
HC_00144,Asalpha Village Dispensary,dispensary,L,L,19.1,72.9,shared_coordinate,unique_name
HC_00145,Himalaya Dispensary,dispensary,L,L,19.09,72.89,shared_coordinate,unique_name
HC_00147,Mohili Village Dispensary,dispensary,L,L,19.1,72.89,shared_coordinate,unique_name
HC_00148,Christian Village Dispensary,dispensary,L,L,19.08,72.88,shared_coordinate,unique_name
HC_00150,Nahar Amrit Shakti Dispensary,dispensary,L,L,19.07,72.88,shared_coordinate,unique_name
HC_00152,Ayodhya Nagar Dispensary,dispensary,ME,ME,19.03,72.9,shared_coordinate,unique_name
HC_00154,Deonar Dispensary,dispensary,ME,ME,19.05,72.92,shared_coordinate,unique_name
HC_00155,Maharashtra Nagar Dispensary (Cheetah),dispensary,ME,ME,19.05,72.94,shared_coordinate,unique_name
HC_00156,Kamla Raman Nagar Dispensary (Baiganwadi),dispensary,ME,ME,19.06,72.93,shared_coordinate,unique_name
HC_00157,Ram Manohar Lohiya (R B K Dispensary),dispensary,ME,ME,19.06,72.91,shared_coordinate,unique_name
HC_00158,L. U. Gadkari Dispensary (Vashi Naka),dispensary,ME,L,19.09,72.89,shared_coordinate,unique_name
HC_00159,New Baigan Wadi Dispensary,dispensary,ME,ME,19.0589,72.9235,shared_coordinate,unique_name
HC_00160,A. B. Sathe Nagar Dispensary,dispensary,ME,ME,19.05,72.93,shared_coordinate,unique_name
HC_00162,Chembur Naka Dispensary,dispensary,MW,MW,19.05,72.89,shared_coordinate,unique_name
HC_00163,Chembur Colony Dispensary,dispensary,MW,MW,19.05,72.89,shared_coordinate,unique_name
HC_00165,Lal Dongar Dispensary,dispensary,MW,MW,19.05,72.89,shared_coordinate,unique_name
HC_00166,Mahul SRA Dispensary,dispensary,MW,MW,19.01,72.89,shared_coordinate,unique_name
HC_00167,Mahul Village Dispensary,dispensary,MW,MW,19.01,72.89,shared_coordinate,unique_name
HC_00168,Sarvodaya Dispensary,dispensary,N,N,19.09,72.91,shared_coordinate,unique_name
HC_00169,Park Site Dispensary,dispensary,N,N,19.1,72.91,shared_coordinate,unique_name
HC_00170,Parshi Wadi Dispensary,dispensary,N,N,19.09,72.9,shared_coordinate,unique_name
HC_00171,Pant Nagar Dispensary,dispensary,N,N,19.09,72.92,shared_coordinate,unique_name
HC_00172,Ramabai Dispensary,dispensary,N,N,19.08,72.92,shared_coordinate,unique_name
HC_00173,Sainath Dispensary,dispensary,N,N,19.09,72.91,shared_coordinate,unique_name
HC_00174,Kirol Village Dispensary,dispensary,N,N,19.08,72.9,shared_coordinate,unique_name
HC_00176,M.V.R. Shinde Marg Dispensary,dispensary,S,S,19.14,72.94,shared_coordinate,unique_name
HC_00177,Shivaji Talav Dispensary,dispensary,S,S,19.15,72.93,shared_coordinate,unique_name
HC_00179,Nahur Dispensary,dispensary,S,KE,19.1315,72.8846,shared_coordinate,unique_name
HC_00180,Kanjur Village Dispensary,dispensary,S,S,19.13,72.94,shared_coordinate,unique_name
HC_00181,Tagor Nagar Dispensary,dispensary,S,S,19.12,72.94,shared_coordinate,unique_name
HC_00182,Tulshet Pada Dispensary,dispensary,S,S,19.1627,72.9306,shared_coordinate,unique_name
HC_00183,Tembhi Pada Dispensary,dispensary,S,S,19.15,72.93,shared_coordinate,unique_name
HC_00184,PJK Dispensary,dispensary,T,T,19.18,72.95,shared_coordinate,unique_name
HC_00185,DDU Marg Dispensary,dispensary,T,T,19.18,72.95,shared_coordinate,unique_name
HC_00186,Mulund Colony Dispensary,dispensary,T,T,19.17,72.94,shared_coordinate,unique_name
HC_00187,Grant Med.College & J.J. Hospital,hospital,E,C,18.96,72.83,shared_coordinate,unique_name
HC_00188,NAIR HOSPITAL DENTAL COLLEGE,hospital,E,E,18.97,72.82,shared_coordinate,unique_name
HC_00189,B. Y. L. NAIR CHARITABLE HOSPITAL AND T. N. MEDICAL COLLEGE,hospital,E,E,18.97,72.82,shared_coordinate,unique_name
HC_00190,Seth G.S.Medical college &KEM Hospital,hospital,FS,FS,19.0,72.84,shared_coordinate,unique_name
HC_00191,LOKMANYA TILAK MUNICIPAL GENERAL HOSPITAL AND MEDICAL COLLEGE,hospital,FN,FN,19.04,72.86,shared_coordinate,unique_name
HC_00192,Hinduhrudaysamrat Balasaheb Thackeray Med.College & Dr.R.N Cooper Hospital,hospital,KW,KW,19.11,72.84,shared_coordinate,unique_name
HC_00194,Cama Albless Hospital,hospital,A,A,18.94,72.83,shared_coordinate,unique_name
HC_00196,V.N Desai Hospital,hospital,HE,HE,19.08,72.85,shared_coordinate,unique_name
HC_00197,K.B Bhabha Hospital,hospital,HW,HW,19.06,72.83,shared_coordinate,unique_name
HC_00198,Siddharth Municipal General Hospital,hospital,PS,PS,19.16,72.84,shared_coordinate,unique_name
HC_00199,MW Desai Mun.Gen.Hospital,hospital,PN,PN,19.18,72.85,shared_coordinate,unique_name
HC_00200,S.K.Patil Mun.Gen.Hospital,hospital,PN,PN,19.19,72.85,shared_coordinate,unique_name
HC_00201,Hinduhridaysamrat Balasaheb Thackeray Trauma Care Hospital,hospital,KE,KE,19.14,72.85,shared_coordinate,unique_name
HC_00203,Harilal Bhagwati Mun.Gen.Hosp,hospital,RN,RN,19.24,72.85,shared_coordinate,unique_name
HC_00204,Kasturba Cross Road Hospital,hospital,RC,RN,19.24,72.85,shared_coordinate,unique_name
HC_00205,Kurla Bhabha Hospital,hospital,L,L,19.07,72.88,shared_coordinate,unique_name
HC_00206,MAA Mun.Gen.Hospital,hospital,MW,MW,19.06,72.9,shared_coordinate,unique_name
HC_00207,Pt. MMM Centenery Hospital,hospital,ME,MW,19.05,72.91,shared_coordinate,unique_name
HC_00208,Rajawadi Hospital,hospital,N,N,19.08,72.9,shared_coordinate,unique_name
HC_00209,KMJ Phule Mun.Gen.Hospital,hospital,S,S,19.12,72.94,shared_coordinate,unique_name
HC_00210,Sant Muktabai Hospital,hospital,N,L,19.1,72.9,shared_coordinate,unique_name
HC_00211,SVD Savarkar Hospital,hospital,T,T,19.17,72.96,shared_coordinate,unique_name
HC_00212,M.T.Agarwal Mun.Gen.Hospital,hospital,T,T,19.18,72.95,shared_coordinate,unique_name
HC_00214,Municipal Eye Hospital,hospital,E,C,18.96,72.83,shared_coordinate,unique_name
HC_00215,Kasturba Hospital (For Infectiou Diseases),hospital,E,E,18.98,72.83,shared_coordinate,unique_name
HC_00216,Group Of T.B.Hospital,hospital,FS,FS,19.01,72.85,shared_coordinate,unique_name
HC_00218,"Suryakant Vagal Maternity Home, Zaobawadi",maternity_hospital,C,C,18.95,72.82,shared_coordinate,unique_name
