pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
4276287,2,0,3,1,0,6,11,0,0,1,3,3,2,2,0,0,0,0,3,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,3,0,20,0,0,2,0,1,3,1,2,2
7670597,2,0,1,1,0,4,2,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,0,1,1,2,2
5953888,2,0,1,1,0,7,7,0,0,1,0,0,10,10,0,0,5,5,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,15,0,27,0,0,1,15,15,6,1,1,3
9846182,2,0,1,1,0,7,12,0,0,1,8,8,7,7,1,1,1,1,8,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,5,0,0,0,8,0,1,1,2,3
7634595,2,0,1,1,0,12,12,0,0,1,8,8,8,8,1,1,1,1,8,8,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,6,0,0,1,1,1,1,1,2,3
2307835,2,0,0,1,0,1,0,2,0,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,1,2,2,2
7223132,1,0,1,1,0,5,4,0,0,1,1,1,2,2,1,1,0,0,4,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,10,0,0,0,1,1,1,1,2,2
7611503,3,0,1,1,0,2,3,0,0,1,2,2,2,2,1,1,1,1,3,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,1,0,1,1,1,2
1477175,2,0,1,1,0,21,8,0,0,1,8,8,7,7,2,2,2,2,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,2,0,0,1,8,8,2,1,2,3
3850003,3,0,1,1,0,7,17,0,0,1,3,3,2,2,1,1,1,1,8,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,56,2,0,7,1,3,1,1,1,2,1
5425456,1,0,1,1,0,4,7,0,0,1,1,1,2,2,1,1,0,0,4,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,15,0,0,1,5,1,2,1,2,3
2533576,3,0,1,8,0,6,12,0,0,1,2,2,2,2,1,1,1,1,4,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,1,2,2
1779484,2,0,1,1,0,5,11,0,0,1,8,8,8,8,1,0,1,0,2,0,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,0,25,0,9,1,9,9,2,1,2,3
8005518,3,0,1,1,0,22,25,0,0,1,8,8,12,12,1,1,0,0,12,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,1,1,1,2,3
7925825,3,0,1,1,0,6,9,0,0,1,4,4,4,4,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,1,1,0,1,2,2
6269548,3,0,1,1,0,7,5,0,0,1,4,4,4,4,2,2,2,2,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,50,11,210,0,0,3,0,1,2,2,2
2763358,3,0,1,1,0,4,12,0,0,1,2,2,4,4,1,1,0,0,4,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,10,5,10,0,0,0,4,0,0,2,2,3
3695727,3,0,1,1,0,7,4,0,0,1,2,2,3,3,0,0,1,1,4,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,2,3
1590235,3,0,1,1,0,6,2,0,0,1,2,2,2,2,1,1,1,1,3,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,69,2,0,0,0,1,1,1,1,2,3
3855504,2,0,1,1,0,5,12,0,0,1,6,6,8,8,0,0,0,0,3,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,10,0,1,1,0,0,1,1,2,3
1148596,2,0,2,1,0,9,13,0,0,1,2,2,2,2,1,1,0,0,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,9,2,2,15,0,2,0,4,2,2,1,1,3
2299145,2,0,1,1,0,5,18,0,0,1,0,0,21,21,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,30,0,0,3,18,1,4,1,2,3
3566401,3,0,1,1,0,22,22,0,0,1,11,11,21,21,5,5,5,5,32,13,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,22,0,0,0,9,1,1,1,2,3
3007473,1,0,1,1,0,10,7,0,0,1,6,6,6,6,0,0,6,6,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,2,3,0,5,2,0,5,1,1,2,3
8132237,2,0,3,6,0,10,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,1,0,3,0,3,2,1,0,1,1,2,3
8702730,2,0,1,1,0,7,7,0,0,1,2,2,2,2,1,1,1,1,10,6,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,2,0,3,2,0,1,2,1,1,3
4844161,3,0,1,1,0,14,9,0,0,1,3,3,6,6,1,1,1,1,4,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,1,2,3
8402491,3,0,1,1,0,3,2,0,0,1,4,4,4,4,1,1,1,1,9,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,2,3
8919097,1,0,1,1,0,7,9,0,0,1,2,2,2,2,1,1,0,0,3,3,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,1,4,80,4,1,1,2,2,1,1,2
4141280,3,0,1,1,0,3,16,0,0,1,6,6,6,6,1,1,1,1,6,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,87,15,0,0,0,0,1,1,1,1,2
4813710,2,0,1,1,0,4,8,0,0,1,1,1,2,2,1,1,1,1,5,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,1,2,1,2,2
7058911,2,0,1,1,0,3,9,0,0,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,1,2,3
9703889,1,0,1,1,0,8,12,0,0,1,3,3,3,3,3,3,3,3,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,1,0,12,2,1,2,2,1,2,1
1102059,2,0,2,3,0,2,4,0,0,1,4,4,2,2,1,1,1,1,5,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,2,0,0,1,2,1,2,3
3663958,3,0,1,1,0,10,19,0,0,1,12,12,12,12,2,2,2,2,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,25,0,4,0,10,2,1,1,1,2
7637542,3,0,1,1,0,10,0,0,22,1,4,4,3,3,1,1,1,1,15,15,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,11,0,16,0,0,0,5,4,2,1,2,2
5031580,3,0,1,1,0,2,3,2,0,1,4,4,4,4,0,0,0,0,5,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,1,2,1,1,2,3
6826560,2,0,1,1,0,5,17,0,0,1,6,6,6,6,1,1,1,1,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,10,0,0,1,1,1,5,1,1,3
8079617,3,0,1,1,0,3,2,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,19,0,0,0,1,1,0,2,1,3
8245103,2,0,1,1,0,3,8,0,0,1,4,4,2,2,1,1,1,1,8,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,2,0,1,0,0,0,0,0,2,1,2,3
8230292,3,0,1,1,0,1,5,0,0,1,2,2,3,3,1,1,0,0,5,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,1,1,1,1,1,2,3
