pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
4883444,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 146",,,,6,3,1,10,101,400094,2,2,3,0,2,19,0,0,0,1,0,1,2,2,0,2,31,35,6,4,0,0
3011318,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/North - Ward No. 8",,,,6,3,5,10,5,400068,2,2,3,0,2,19,0,0,0,1,0,1,9,9,0,1,0,0,0,0,0,0
9631471,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","H/West - Ward No. 97",,,,7,3,8,10,4,400054,2,2,3,0,2,10,0,0,0,2,0,1,9,0,0,1,0,0,0,0,0,0
9093877,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 159",,,,6,3,5,10,5,400072,2,2,3,0,1,19,0,0,0,2,0,1,9,9,231,1,0,0,0,0,0,0
7640056,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/South - Ward No. 50",,,,6,3,5,10,5,400064,2,1,3,0,1,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
9192259,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 75",,,,6,3,1,10,5,400059,2,2,3,0,1,19,0,0,0,3,0,1,1,9,0,1,39,31,0,0,0,0
5674658,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 36",,,,6,3,1,10,5,400097,2,1,3,0,1,19,0,0,0,3,0,1,2,9,0,1,113,84,2,8,0,0
6688398,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/West - Ward No. 151",,,,7,3,8,10,4,400071,2,2,3,0,2,4,0,0,0,2,0,1,9,0,0,1,0,0,0,0,0,0
1964482,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","F/North - Ward No. 173",,,,6,3,5,10,5,400022,2,2,3,0,2,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
1629552,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/West - Ward No. 152",,,,6,3,5,10,5,400071,2,2,3,0,2,19,0,0,0,2,0,1,9,9,230,1,0,0,0,0,0,0
2435889,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","H/West - Ward No. 101",,,,6,1,5,10,4,400050,2,2,3,0,1,19,0,0,0,2,0,1,9,2,220,1,0,0,0,0,0,0
1291187,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","F/North - Ward No. 177",,,,6,3,1,10,5,400019,2,2,3,0,1,19,0,0,0,2,0,1,2,9,194,1,0,0,0,0,0,0
6007217,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","N - Ward No. 132",,,,6,3,5,10,4,400077,2,2,3,0,1,3,0,0,0,2,0,1,9,2,230,1,0,0,0,0,0,0
8169470,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 20",,,,6,3,5,10,4,400067,2,2,3,0,2,10,0,0,0,2,0,1,9,2,235,1,0,0,0,0,0,0
4207198,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 35",,,,6,3,5,10,5,400064,2,2,3,0,2,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
8573745,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 41",,,,7,3,8,10,5,400065,2,1,3,0,1,18,4,19,10,2,0,1,9,0,0,1,0,0,0,0,0,0
2944778,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 72",,,,6,3,5,10,5,400069,2,2,1,3,2,19,0,0,0,2,0,1,9,9,220,1,0,0,0,0,0,0
4819797,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","C - Ward No. 222",,,,6,1,5,10,4,400001,2,2,3,0,1,19,0,0,0,2,0,1,9,2,0,1,0,0,0,0,0,0
2813322,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","D - Ward No. 215",,,,6,3,5,10,4,400034,2,2,3,0,2,3,0,0,0,2,0,1,9,2,210,1,0,0,0,0,0,0
3440865,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 75",,,,6,3,5,10,4,400059,2,2,3,0,2,19,0,0,0,2,0,1,9,2,210,1,0,0,0,0,0,0
4916070,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","G/North - Ward No. 186",,,,6,3,5,10,4,400017,2,1,3,0,2,10,0,0,0,2,0,1,9,2,0,1,0,0,0,0,0,0
5918470,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","F/North - Ward No. 172",,,,6,3,5,10,4,400022,2,1,3,0,2,10,19,0,0,2,0,1,9,2,231,1,0,0,0,0,0,0
