pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
7093678,2,0,1,5,0,5,10,0,0,1,4,4,4,4,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,1,0,21,0,11,1,1,1,4,1,1,3
8973720,1,0,1,1,0,8,8,0,0,1,6,6,6,6,1,1,1,1,6,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,26,0,39,0,0,1,1,1,7,1,2,2
6264889,2,0,1,1,0,6,12,0,0,1,5,5,10,10,5,5,10,10,12,10,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,4,0,26,0,26,0,0,1,4,1,1,2
3142838,1,0,1,1,0,10,45,0,0,1,8,8,12,12,2,2,2,2,10,14,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,40,0,36,1,1,36,8,1,1,3
9864475,1,0,1,1,0,12,12,0,0,1,4,4,6,6,1,1,1,1,7,7,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,1,1,1,3,3,3,3,3,3,1,9,1,0,10,0,0,0,0,0,1,1,2,2
7550608,1,0,1,1,0,12,12,0,0,1,12,12,8,8,4,4,0,0,8,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,28,0,0,1,12,12,5,1,2,3
3206542,1,0,0,7,0,7,6,0,0,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,1,3,1,2,2
6709964,2,0,1,1,0,3,3,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,1,0,1,1,1,2,2
5297163,2,0,1,1,0,7,28,0,0,1,6,6,9,9,1,1,0,0,10,9,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,0,30,1254,30,2,3,33,2,1,2,2
6796967,1,0,1,1,0,5,12,0,0,1,4,3,3,3,1,1,1,1,6,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,4,0,57,0,4,1,4,2,3,1,2,1
