pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
2456198,4,4,0,0,3,0,0,1,4,0,0,0,3,1,1,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
2457080,17,2,15,0,13,2,0,1,1,15,1,2,9,6,16,4,1,1,7,0,4,0,0,0,0,2,0,9,2,0,0,2,0,2,0,0,0
2465247,33,14,19,0,14,5,3,5,33,0,0,3,10,20,26,0,8,0,14,8,3,0,0,0,31,9,0,22,0,0,0,2,0,0,0,0,2
2465710,13,9,4,0,8,1,1,2,13,0,0,5,5,3,1,2,7,0,4,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,1
2473111,7,3,4,0,7,0,0,0,7,0,0,0,6,1,7,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2479489,3,2,1,0,3,0,0,0,3,0,0,0,0,3,1,0,0,0,1,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
2482599,11,0,11,0,9,1,0,1,10,1,0,4,3,4,10,6,1,0,4,0,0,0,0,0,4,6,0,3,0,0,0,0,0,2,0,0,1
2482744,2,0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2482810,20,0,20,0,19,0,0,1,20,0,0,0,7,13,20,5,0,10,0,0,3,2,0,0,0,2,0,14,1,2,0,0,0,1,0,0,13
2485194,11,0,11,0,11,0,0,0,11,0,0,0,6,5,9,0,2,1,7,0,1,0,0,0,0,2,0,5,4,0,0,0,0,0,0,0,0
